index,text,label
0,"Not that long ago , before the Chinese takeover , the news about real estate here was that the sky was the limit the highest prices in the world . So when Wong Kwan spent seventy million dollars for this house , he thought it was a great deal .",1
1,"But in the past three months , stocks have plunged , interest rates have soared and the downturn all across Asia means that people are not spending here .",1
2,"I think that the mood is fairly gloomy , and I think it 's not going to change for a couple of years . So for Hong Kong , it 's time , as investment bankers like to say , to reposition .",1
3,"On the other hand , it 's turning out to be another very bad financial week for Asia .",0
4,The financial assistance from the World Bank and the International Monetary Fund are not helping .,0
5,"In the last twenty four hours , the value of the Indonesian stock market has fallen by twelve percent .",0
6,The Indonesian currency has lost twenty six percent of its value .,0
7,"In Singapore , stocks hit a five year low .",0
8,"In the Philippines , a four year low .",0
9,"And in Hong Kong , a three percent drop .",0
10,"More problems in Hong Kong for a place , for an economy , that many experts thought was once invincible .",0
11,Here 's ABC 's Jim Laurie .,0
12,"In Hong Kong , is always belongs to the seller 's market .",0
13,"Now with new construction under way , three of his buyers have backed out .",0
14,And Wong Kwan will be lucky to break even .,0
15,"All across Hong Kong , the property market has crashed .",0
16,Pamela Pak owns eight condominiums here .,0
17,Pak ca n't find buyers .,0
18,"She estimates her properties , worth a hundred thirty million dollars in October , are worth only half that now .",0
19,They believe ah it will be always up going up and up ah forever .,0
20,Nobody believe this any more .,0
21,"Of all of Asia 's economies , Hong Kong is the most robust .",0
22,You can get seventy percent discounts at the shopping malls .,0
23,Three thousand dollar pearls for eight hundred dollars .,0
24,A two hundred dollar wool jacket for fifty dollars .,0
25,"Still , there are few buyers .",0
26,"And at the big brokerage houses , after ten years of boom , they 're talking about layoffs .",0
27,Fidel Castro invited John Paul to come for a reason . This is clearly an opportunity for Cuba to look good internationally .,1
28,"One of the scenarios widely advanced before the visit is that through the Pope , Cuba , still led by Castro , can begin a more productive relationship with the world . That will , in turn , bring pressure on Washington to change .",1
29,The main negative is the risk that the Pope 's visit will persuade a great many more Cubans to break loose of the Cuban government .,1
30,"If so , then the Pope 's visit would really open up a new chapter in the government 's relations with its own society .",1
31,"For his part , Fidel Castro is the ultimate political survivor .",0
32,"People have predicted his demise so many times , and the US has tried to hasten it on several occasions .",0
33,"Time and again , he endures .",0
34,He has outlasted and sometimes outsmarted eight American presidents .,0
35,They 'll see images of the Pope with Fidel Castro .,0
36,"It will give the rest of the world the view that Cuba is like any other nation , something the US has , of course , tried to persuade the world that it is not .",0
37,"For nearly forty years , the United States has said categorically it would not tolerate totalitarian rule in its own backyard .",0
38,It is the US economic and political embargo which has kept Cuba in a box .,0
39,"The main positive for Castro to invite the Pope is international , to be able to say to the rest of the world , this government is not as closed , as intolerant , uh as totalitarian as some make it out to be .",0
40,Castro has said that you can be a Communist and still be a Christian .,0
41,He says he and the Pope both want to end the exploitation of man by man .,0
42,The question is who will Cubans believe ?,0
43,"At the end of the broadcast this evening , one more trip around Havana to see what it 's been like since the last time .",0
44,Just the fact that we 're doing the job that we 're doing makes us role models .,1
45,"In space , some say female pilots were held up until now by the lack of piloting opportunities for them in the military .",1
46,"Finally today , we learned that the space agency has finally taken a giant leap forward .",0
47,Air Force Lieutenant Colonel Eileen Collins will be named commander of the Space Shuttle Columbia for a mission in December .,0
48,"Colonel Collins has been the co-pilot before , but this time she 's the boss .",0
49,Here 's ABC 's Ned Potter .,0
50,"Even two hundred miles up in space , there has been a glass ceiling .",0
51,"It was n't until twenty years after the first astronauts were chosen that NASA finally included six women , and they were all scientists , not pilots .",0
52,No woman has actually been in charge of a mission until now .,0
53,Being commander is different .,0
54,It means supervising the rest of the crew in training and leading them in flight .,0
55,"It is , in short , the kind of management job many American women say they 've had to fight for .",0
56,Nobody hurried her up .,0
57,No one held her back .,0
58,Many NASA watchers say female astronauts have become part of the agency 's routine .,0
59,"But they still have catching up to do two hundred and thirty four Americans have flown in space , only twenty six of them women .",0
60,Saddam appeared to accept a border demarcation treaty he had rejected in peace talks following the August 1988 cease-fire of the eight-year war with Iran .,1
61,In other developments : The Pentagon said that Defense Secretary Dick Cheney is considering urging Bush to order a national callup of armed forces reserves for active duty because of the drain on units sending soldiers abroad .,1
62,A steep rise in world oil prices followed the Kuwait invasion .,1
63,The U.N. Security Council on Aug . 6 ordered a global embargo on trade with Iraq as punishment for seizing Kuwait .,1
64,"A CBS News report citing unidentified Jordanian sources said that Saddam 's message called for an international conference to be convened to discuss an Iraqi withdrawal from Kuwait . In exchange , the buildup of U.S. forces in the region would halt .",1
65,"Bush , however , says he sees no short-term hope for a diplomatic solution to the gulf crisis _ at least until economic sanctions force Saddam to withdraw his army .",1
66,The embargo is meant to cripple Iraq by cutting off its exports of oil and imports of food and military supplies .,1
67,U.S. allies and other U.N. members have objected that the Security Council embargo resolution did not specifically authorize such a naval operation .,1
68,Iraq said it invaded Kuwait because of disputes over oil and money .,1
69,"It accused Kuwait of deliberately slashing Iraqi oil revenues by overproducing oil and driving down prices , among other charges .",1
70,"It accused Kuwait of deliberately slashing Iraqi oil revenues by overproducing oil and driving down prices , among other charges .",1
71,"Iraq 's Saddam Hussein , facing U.S. and Arab troops at the Saudi border , today sought peace on another front by promising to withdraw from Iranian territory and release soldiers captured during the Iran - Iraq war .",0
72,"Also today , King Hussein of Jordan arrived in Washington seeking to mediate the Persian Gulf crisis .",0
73,President Bush on Tuesday said the United States may extend its naval quarantine to Jordan 's Red Sea port of Aqaba to shut off Iraq 's last unhindered trade route .,0
74,"In another mediation effort , the Soviet Union said today it had sent an envoy to the Middle East on a series of stops to include Baghdad .",0
75,"Soviet officials also said Soviet women , children and invalids would be allowed to leave Iraq .",0
76,"President Bush today denounced Saddam 's "" ruinous policies of war , "" and said the United States is "" striking a blow for the principle that might does not make right . """,0
77,"In a speech delivered at the Pentagon , Bush seemed to suggest that American forces could be in the gulf region for some time .",0
78,""" No one should doubt our staying power or determination , "" he said .",0
79,"The U.S. military buildup in Saudi Arabia continued at fever pace , with Syrian troops now part of a multinational force camped out in the desert to guard the Saudi kingdom from any new thrust by Iraq .",0
80,"In a letter to President Hashemi Rafsanjani of Iran , read by a broadcaster over Baghdad radio , Saddam said he will begin withdrawing troops from Iranian territory on Friday and release Iranian prisoners of war .",0
81,"Iran said an Iraqi diplomatic delegation was en route to Tehran to deliver Saddam 's message , which it said it would review "" with optimism . """,0
82,"Saddam said he sought to "" turn the gulf into a lake of peace free of foreign fleets and forces that harbor ill intentions against us . """,0
83,"Soviet Foreign Ministry spokesman Yuri Gremitskikh said special ambassador Mikhail Sytenko left Tuesday for consultations with the governments of Syria , Jordan , Egypt and other Arab countries .",0
84,"Sytenko , a former deputy secretary-general of the United Nations , is also expected to visit Baghdad , Gremitskikh said at a regular news briefing today .",0
85,"The outlook darkened for about 3,000 Americans caught in Iraq and Kuwait when Saddam sent his forces into the small , oil-rich sultanate .",0
86,"The Iraqi ambassador to Greece said in Athens the Americans and other stranded foreigners could leave "" as soon as the threats from the United States and its allies are eliminated . """,0
87,"ABC quoted an Iraqi Foreign Ministry official in Baghdad as saying Americans in Iraq are "" restrictees "" who will stay there until the crisis ends .",0
88,"The Soviet Foreign Ministry said Soviet women , children and invalids would be permitted to leave Iraq .",0
89,"Spokesman Yuri Gremitskikh said the first group of 230 evacuees was assembling in Baghdad today , but evacuation plans were hampered by desert heat and lack of transportation .",0
90,"Nearly 9,000 Soviets were among the hundreds of thousands of foreigners trapped in Iraq and Kuwait .",0
91,"Iraq has agreed to allow all 880 Soviets in Kuwait to leave , but only by a 1,200-mile road route through Iraq and to the Iraq - Jordan border .",0
92,The British Foreign Office said today conditions in Kuwait appear to be deteriorating .,0
93,"There have been reports of wholesale looting but food and gasoline were still available , said a spokesman , who by custom was not identified .",0
94,Banks remained closed .,0
95,The Iraqi ambassador to Venezuela said on Tuesday that Iraq would retaliate against Venezuela and other OPEC oil cartel members if they boost oil production to fill the gap created by blocked supplies from Iraq and Kuwait .,0
96,"With Kuwait now "" annexed , "" Iraq has control of 20 percent of the world 's oil reserves .",0
97,"Twelve Arab League nations voted for an Arab force to protect Saudi Arabia , with the vanguard of Syria 's contingent arriving Tuesday , according to diplomatic sources in Riyadh , the Saudi capital .",0
98,Egyptian and Moroccan troops are already there .,0
99,The predominantly Moslem nation of Bangladesh said today its troops would join multinational forces in Saudi Arabia .,0
100,The size of the contingent was not disclosed .,0
101,"Turkey and Saudi Arabia in effect shut down Iraq 's major oil outlets through those countries , but according to Jordanian officials , a smaller line into Jordan remained operating .",0
102,Truckloads of goods rolled into Iraq from Jordan on Tuesday and Iraqi-bound cargo was unloaded from ships at the Red Sea port ofAqaba despite the U.N.-ordered sanctions .,0
103,"King Hussein was reportedly carrying a message to Bush from Iraq 's Saddam , with whom the king met Monday .",0
104,"The monarch will meet Bush on Thursday in Kennebunkport , Maine .",0
105,"Crown Prince Hassan , King Hussein 's brother and political adviser , was asked today about the message the king was said to be carrying .",0
106,"In an interview from Jordan on ABC , he declined to discuss details , but said : "" I do n't think that his majesty would be traveling at this crucial moment if the Iraqi leadership did not have a rational approach to the future . """,0
107,"On Tuesday , the United States and Soviet Union conferred in Washington on putting an anti-Iraq naval blockade under a United Nations umbrella .",0
108,"The United States has provided most of the naval vessels so far to block Iraqi trade , with Britain , West Germany and Australia among the other nations lending support at sea .",0
109,"In Saudi Arabia , today is the eighth day of "" Desert Shield , "" the operation designed to confront an estimated 200,000 Iraqi soldiers now in Kuwait .",0
110,Iraq boasts an army of 1 million members .,0
111,"At least 50,000 U.S. troops are expected to be committed to Desert Shield within weeks , including Marines , Army air assault forces , paratroopers and infantry .",0
112,"Bush , commenting on the two-week gulf crisis from his vacation home in Maine , said he saw little reason to be optimistic about a settlement of the dispute , which stems from Iraq 's invasion of oil-wealthy Kuwait and its subsequent military buildup on the border of Saudi Arabia .",1
113,"Bush , commenting on the two-week gulf crisis from his vacation home in Maine , said he saw little reason to be optimistic about a settlement of the dispute , which stems from Iraq 's invasion of oil-wealthy Kuwait and its subsequent military buildup on the border of Saudi Arabia .",1
114,Iraq said the roundup was to protect them from unspecified threats ;,1
115,"An international land , sea and air force has mobilized since Iraq 's invasion , which was sparked by disputes over oil , land and repayment of war loans .",1
116,"The quarantine hopes to staunch the flow of Iraqi oil , which is Iraq 's economic lifeblood , and clamp down on food and supplies going in.",1
117,Iraq now controls 20 percent of the world 's oil reserves with its conquest of Kuwait .,1
118,The president also has offered to help offset Jordan 's costs because 40 percent of its exports go to Iraq and 90 percent of its oil comes from there .,1
119,The president also has offered to help offset Jordan 's costs because 40 percent of its exports go to Iraq and 90 percent of its oil comes from there .,1
120,"Meanwhile , Egypt 's official Middle East News Agency said Thursday that Saddam was the target of an assassination attempt , which led to "" large-scale "" arrests , including some close associates of the Iraqi strongman .",1
121,The Persian Gulf showdown between Iraq and the United States took a more personal turn Thursday when Iraq 's Saddam Hussein called President Bush a liar and said the outbreak of holy war could bring thousands of Americans home in coffins .,0
122,Bush also said Thursday that King Hussein assured him Jordan would close the last remaining free port to most Iraqi trade as the economic embargo on materials to Iraq continued unabated .,0
123,Foodstuffs are among the goods being blocked from entry ;,0
124,Iraq imports about three-quarters of its food .,0
125,"Pentagon sources in Washington meanwhile said the Bush administration plans to deploy 45,000 Marines to the region to back up the thousands of Army , Navy and Air Force troops already in place in the gulf and the Saudi desert .",0
126,"At a news conference , Secretary of State James A. Baker III said Jordan "" is seeking some guidance "" about a provision in the U.N.-backed trade embargo that allows food for humanitarian purposes .",0
127,Worries however grew about the safety of Americans and other Westerners trapped in Kuwait .,0
128,"Iraqi military authorities ordered all Americans and Britons in Kuwait to assemble at a hotel , officials said .",0
129,""" Very few "" of the 2,500 Americans in occupied Kuwait complied with the order , a senior U.S. official told The Associated Press .",0
130,""" What we fear is that they will be interned somewhere , most likely in Iraq , "" Waldegrave said .",0
131,"A total of about 3,000 Americans , 3,000 Britons and more than 450 Japanese are in Iraq and Kuwait .",0
132,"Overall , more than 2 million foreigners are in both countries .",0
133,"Iraq has called them "" restrictees . """,0
