index,text,label
71,"Iraq 's Saddam Hussein , facing U.S. and Arab troops at the Saudi border , today sought peace on another front by promising to withdraw from Iranian territory and release soldiers captured during the Iran - Iraq war .",0
594,""" All Iraqis , fight them with all the power you have , and all struggle for everything . """,0
1019,""" We 're taking on more debt than we would have liked to , "" acknowledged Michael Plouf , LIN 's vice president and treasurer .",0
1545,Ms. Kolber said the committee had received other bids .,0
354,"This man , Eric Rudolph has already been charged in the Birmingham bombing .",0
1652,"Lawrence Insurance Group Inc. said it acquired United Republic Reinsurance Co., a Houston property and casualty reinsurance company , from United Savings Association of Texas for $ 28 million .",0
1150,Kellogg 's current share is believed to be slightly under 40 % while General Mills ' share is about 27 % .,0
785,"Orkem , France 's third-largest chemical group , said it would fund the acquisition through internal resources .",0
1063,Estimates from traders put it at less than 5 % of Nasdaq 's average daily volume of roughly 133 million shares .,0
1513,"H. Marshall Schwarz was named chairman and chief executive officer of U.S. Trust Corp., a private-banking firm with assets under management of about $ 17 billion .",0
707,"in addition , the loss was magnified by nonrecurring charges totaling $ 23.5 million and $ 8.2 million in asset-valuation adjustments that he described as "" unusual . """,0
702,The partners said they already hold 15 % of all shares outstanding .,0
850,"It also placed on CreditWatch for possible downgrade other securities , including the double-B-minus / B rating of Crossland 's certificates of deposit and the single-B rating of its senior subordinated capital notes .",0
1315,Vanguard 's $ 1 billion High Yield Bond Portfolio has seen $ 161 million flow out since early September ;,0
1345,The SEC has alleged that Mr. Antar aimed to pump up the company 's stock price through false financial statements in order to sell his stake and reap huge profits .,0
1280,"As Jaguar 's biggest holder and Britain 's biggest car maker , Ford could turn up the heat by convening a special shareholders ' meeting and urging holders to drop the limits early .",0
792,"Price Stern Sloan Inc. said it hired an investment banking firm to assist in evaluating restructuring or merger alternatives and reported a net loss of $ 8.1 million , or $ 2.14 a share , for the third quarter ended Sept . 30 .",0
1009,"The bolstered cellular agreement between BellSouth Corp. and LIN Broadcasting Corp. carries heightened risks and could fail to fend off McCaw Cellular Communications Inc., the rival suitor for LIN .",0
777,StatesWest had proposed acquiring Mesa for $ 7 a share and one share of a new series of StatesWest 6 % convertible preferred stock it values at $ 3 a share .,0
431,"Derek Glenn , a spokesman for the Newark Police Department , said that of nine women who had been killed last year , suspects had been arrested in only four cases .",0
1185,The companies said the accord was unanimously approved by a special committee of Erbamont directors unaffiliated with Montedison .,0
1115,Shell eased 1 to 416 on turnover of 4.8 million shares .,0
1298,"Their junk funds combined have had net outflows totaling nearly $ 500 million , or about 13 % of their junk fund assets , in the past two months .",0
1619,Sales increased in the quarter ended Sept . 30 to $ 747.8 million from $ 623.5 million a year ago .,0
1373,"Those companies are paying the price for taking the risk . """,0
87,"ABC quoted an Iraqi Foreign Ministry official in Baghdad as saying Americans in Iraq are "" restrictees "" who will stay there until the crisis ends .",0
848,Third-quarter loan originations dropped sharply to $ 663 million from $ 1 billion a year ago .,0
531,"The president responded , "" Everything , everything . """,0
768,Sales rose 6.7 % to $ 4.27 billion from $ 4 billion .,0
1392,"Since then , Intel has cornered a large part of the market with successive generations of 16-bit and 32-bit chips , all of which can run software written for previous models .",0
1659,"During the quarter , Delta issued 2.5 million shares of common stock to Swissair , and repurchased 1.1 million shares for use in a company employee stock ownership plan .",0
1082,"The Nasdaq Composite Index tumbled 5.39 , or 1.2 % to 452.76 on Friday .",0
584,"American officials staunchly disavow any interest in driving through Iraq toward Baghdad , either in pursuit of Saddam Hussein himself or to set up some American-controlled government inside Iraq .",0
1167,"A company spokesman said it was "" possible , but highly unlikely , "" that the plant might never be built .",0
946,"Control Data Corp., which just months ago was hemorrhaging financially , thinks it will be healthy enough soon to consider repurchasing public debt .",0
58,Many NASA watchers say female astronauts have become part of the agency 's routine .,0
1389,"But while the chip 's speed in processing power is dazzling , it 's real strength lies in its software inheritance .",0
