corpus,doc_id,sent_id,eg_id,index,text,text_w_pairs,seq_label,pair_label,context,num_sents
cnc,train_01_10,0,0,cnc_train_01_10_0_0,The farmworkers ' strike resumed on Tuesday when their demands were not met .,<ARG1>The farmworkers ' strike resumed on Tuesday</ARG1> when <ARG0>their demands were not met</ARG0> .,1,1,,1
cnc,train_01_17,0,0,cnc_train_01_17_0_0,The attack on Karayogams had sparked sharp reactions from the CPM leaders .,<ARG0>The attack on Karayogams</ARG0> <ARG1>had <SIG0>sparked</SIG0> sharp reactions from the CPM leaders</ARG1> .,1,1,,1
cnc,train_01_47,0,0,cnc_train_01_47_0_0,"The strike began on September 9 , with Numsa demanding a double-digit percentage increase .","<ARG1>The strike began on September 9</ARG1> , <ARG0>with Numsa <SIG0>demanding</SIG0> a double-digit percentage increase</ARG0> .",1,1,,1
cnc,train_01_70,0,0,cnc_train_01_70_0_0,Some police personnel intervened and urged them to give up their protest - but to no avail .,<ARG0>Some police personnel intervened</ARG0> and <ARG1>urged them to give up their protest</ARG1> - but to no avail .,1,1,,1
cnc,train_01_83,0,0,cnc_train_01_83_0_0,Two bus drivers were hurt in the attacks .,<ARG1>Two bus drivers were hurt</ARG1> in <ARG0>the attacks</ARG0> .,1,1,,1
cnc,train_01_84,0,0,cnc_train_01_84_0_0,Hartal supporters pelted stones at a KSRTC bus at Karamana injuring driver Babu .,<ARG0>Hartal supporters pelted stones at a KSRTC bus at Karamana</ARG0> <ARG1><SIG0>injuring</SIG0> driver Babu</ARG1> .,1,1,,1
cnc,train_01_104,0,0,cnc_train_01_104_0_0,The violence in Yuen Long has heightened tensions and fears of further attacks .,<ARG0>The violence in Yuen Long</ARG0> <SIG0>has <ARG1>heightened</SIG0> tensions and fears of further attacks</ARG1> .,1,1,,1
cnc,train_01_122,0,0,cnc_train_01_122_0_0,The NIA wanted to catch Akram alive as he could provide clues in resolving the blast case .,<ARG1>The NIA wanted to catch Akram alive</ARG1> <SIG0>as</SIG0> <ARG0>he could provide clues in resolving the blast case</ARG0> .,1,1,,1
cnc,train_01_124,0,0,cnc_train_01_124_0_0,Two more youths were arrested later for allegedly being involved in the blast .,<ARG1>Two more youths were arrested later</ARG1> <SIG0>for</SIG0> <ARG0>allegedly being involved in the blast</ARG0> .,1,1,,1
cnc,train_01_153,0,0,cnc_train_01_153_0_0,The clash took place over use of the field .,<ARG1>The clash took place</ARG1> <SIG0>over</SIG0> <ARG0>use of the field</ARG0> .,1,1,,1
cnc,train_01_167,0,0,cnc_train_01_167_0_0,The government has blamed separatist forces from Xinjiang for the attack .,<ARG1>The government has blamed separatist forces from Xinjiang</ARG1> <SIG0>for</SIG0> <ARG0>the attack</ARG0> .,1,1,,1
cnc,train_01_178,0,0,cnc_train_01_178_0_0,"Over 60,000 pupils were left stranded by the strike .","<ARG1>Over 60,000 pupils were left stranded</ARG1> <SIG0>by</SIG0> <ARG0>the strike</ARG0> .",1,1,,1
cnc,train_01_182,0,0,cnc_train_01_182_0_0,All the 417 guards in the suburban section refused to work extra hours in protest .,<ARG1>All the 417 guards in the suburban section refused to work extra hours</ARG1> <ARG0>in protest</ARG0> .,1,1,,1
cnc,train_01_211,0,0,cnc_train_01_211_0_0,"Shiv Sena workers , including some legislators , today staged demonstrations against Karnataka Chief Minister B S Yeddyurappa here , protesting the ' forcible installation ' of a Kannadiga mayor in Marathi-dominated Belgaum city .","<ARG1>Shiv Sena workers , including some legislators , today staged demonstrations against Karnataka Chief Minister B S Yeddyurappa here</ARG1> , <ARG0><SIG0>protesting</SIG0> the ' forcible installation ' of a Kannadiga mayor in Marathi-dominated Belgaum city</ARG0> .",1,1,,1
cnc,train_01_211,0,1,cnc_train_01_211_0_1,"Shiv Sena workers , including some legislators , today staged demonstrations against Karnataka Chief Minister B S Yeddyurappa here , protesting the ' forcible installation ' of a Kannadiga mayor in Marathi-dominated Belgaum city .","<ARG1>Shiv Sena workers , including some legislators , today staged demonstrations</ARG1> <ARG0>against Karnataka Chief Minister B S Yeddyurappa</ARG0> here , protesting the ' forcible installation ' of a Kannadiga mayor in Marathi-dominated Belgaum city .",1,1,,1
cnc,train_01_246,0,0,cnc_train_01_246_0_0,"Search is on to trace and recover the abducted people , "" he said .","<ARG1>Search is on</ARG1> <ARG0><SIG0>to</SIG0> trace and recover the abducted people</ARG0> , "" he said .",1,1,,1
cnc,train_01_262,0,0,cnc_train_01_262_0_0,"Following the incident , the labourers went on a dharna and stopped work .","<SIG0>Following</SIG0> <ARG0>the incident</ARG0> , <ARG1>the labourers went on a dharna</ARG1> and stopped work .",1,1,,1
cnc,train_01_262,0,1,cnc_train_01_262_0_1,"Following the incident , the labourers went on a dharna and stopped work .","Following the incident , <ARG0>the labourers went on a dharna</ARG0> and <ARG1>stopped work</ARG1> .",1,1,,1
cnc,train_01_296,0,0,cnc_train_01_296_0_0,"`` Talks are underway to solve the wage dispute and to end the strike , '' she said .","`` <ARG1>Talks are underway</ARG1> <ARG0><SIG1>to</SIG1> solve the wage dispute and <SIG0>to</SIG0> end the strike</ARG0> , '' she said .",1,1,,1
cnc,train_01_320,0,0,cnc_train_01_320_0_0,Hundreds of locals on Monday blocked NH 55 for six hours demanding scraping of the MoU .,<ARG1>Hundreds of locals on Monday blocked NH 55 for six hours</ARG1> <ARG0><SIG0>demanding</SIG0> scraping of the MoU</ARG0> .,1,1,,1
cnc,train_02_0,0,0,cnc_train_02_0_0_0,The blockade was lifted following an assurance from ADM Debraj Senapati and the additional SP J. Mahapatra to apprise the State Government of their demand .,<ARG1>The blockade was lifted</ARG1> <SIG0>following</SIG0> <ARG0>an assurance from ADM Debraj Senapati and the additional SP J. Mahapatra</ARG0> to apprise the State Government of their demand .,1,1,,1
