,causal_text_w_pairs,corpus,doc_id,sent_id,eg_id,index,text,num_rs
0,"['<ARG1>Police fired</ARG1> , killing 34 striking workers and wounding 78 while <ARG0>the group of people were gathered near the mine on the hill</ARG0> .', '<ARG1>Police fired</ARG1> , killing 34 striking workers and wounding 78 while <ARG0>a group of people are gathered outdoors near a mine</ARG0> .', '<ARG1>Police fired</ARG1> , killing 34 striking workers and wounding 78 while <ARG0>a group of people are gathered near a mine</ARG0> .', '<ARG1>Police fired their weapons</ARG1> , killing 34 striking workers and wounding 78 while <ARG0>the group of people were gathered near the mine on the hill</ARG0> .', '<ARG1>Police fired their weapons</ARG1> , killing 34 striking workers and wounding 78 while <ARG0>a group of people are gathered outdoors near a mine</ARG0> .', '<ARG1>Police fired their weapons</ARG1> , killing 34 striking workers and wounding 78 while <ARG0>a group of people are gathered near a mine</ARG0> .', '<ARG1>Police fired at each other</ARG1> , killing 34 striking workers and wounding 78 while <ARG0>the group of people were gathered near the mine on the hill</ARG0> .', '<ARG1>Police fired at each other</ARG1> , killing 34 striking workers and wounding 78 while <ARG0>a group of people are gathered outdoors near a mine</ARG0> .', '<ARG1>Police fired at each other</ARG1> , killing 34 striking workers and wounding 78 while <ARG0>a group of people are gathered near a mine</ARG0> .']",0,0,0,0,0,0,0
1,"[""<ARG0>Police fired</ARG0> , <ARG1>striking workers are being killed and wounded</ARG1> while trying to disperse a group gathered on a hill near Lonmin 's platinum mine in Marikana on August 16 ."", ""<ARG0>Police fired their weapons</ARG0> , <ARG1>striking workers are being killed and wounded</ARG1> while trying to disperse a group gathered on a hill near Lonmin 's platinum mine in Marikana on August 16 ."", ""<ARG0>Police fired at each other</ARG0> , <ARG1>striking workers are being killed and wounded</ARG1> while trying to disperse a group gathered on a hill near Lonmin 's platinum mine in Marikana on August 16 ."", ""<ARG0>Police fired</ARG0> , <ARG1>striking workers have been killed and wounded</ARG1> while trying to disperse a group gathered on a hill near Lonmin 's platinum mine in Marikana on August 16 ."", ""<ARG0>Police fired their weapons</ARG0> , <ARG1>striking workers have been killed and wounded</ARG1> while trying to disperse a group gathered on a hill near Lonmin 's platinum mine in Marikana on August 16 ."", ""<ARG0>Police fired at each other</ARG0> , <ARG1>striking workers have been killed and wounded</ARG1> while trying to disperse a group gathered on a hill near Lonmin 's platinum mine in Marikana on August 16 ."", ""<ARG0>Police fired</ARG0> , <ARG1>striking workers have been killed andwounded</ARG1> while trying to disperse a group gathered on a hill near Lonmin 's platinum mine in Marikana on August 16 ."", ""<ARG0>Police fired their weapons</ARG0> , <ARG1>striking workers have been killed andwounded</ARG1> while trying to disperse a group gathered on a hill near Lonmin 's platinum mine in Marikana on August 16 ."", ""<ARG0>Police fired at each other</ARG0> , <ARG1>striking workers have been killed andwounded</ARG1> while trying to disperse a group gathered on a hill near Lonmin 's platinum mine in Marikana on August 16 .""]",0,0,0,0,0,0,0
2,"['Lt-Col Andre Traut said <ARG1>the teenager made a complaint to the police</ARG1> <SIG0>following</SIG0> <ARG0>a farmworkers protest</ARG0> .', 'Lt-Col Andre Traut said <ARG1>the teenager made a complaint to the police</ARG1> <SIG0>following</SIG0> <ARG0>a farmworkers protest is taking place</ARG0> .', 'Lt-Col Andre Traut said <ARG1>the teenager made a complaint to the police</ARG1> <SIG0>following</SIG0> <ARG0>there is a protest by farmworkers</ARG0> .', 'Lt-Col Andre Traut said <ARG1>the teenager filed a complaint with the police</ARG1> <SIG0>following</SIG0> <ARG0>a farmworkers protest</ARG0> .', 'Lt-Col Andre Traut said <ARG1>the teenager filed a complaint with the police</ARG1> <SIG0>following</SIG0> <ARG0>a farmworkers protest is taking place</ARG0> .', 'Lt-Col Andre Traut said <ARG1>the teenager filed a complaint with the police</ARG1> <SIG0>following</SIG0> <ARG0>there is a protest by farmworkers</ARG0> .', 'Lt-Col Andre Traut said <ARG1>the teenager lodged a complaint with the police</ARG1> <SIG0>following</SIG0> <ARG0>a farmworkers protest</ARG0> .', 'Lt-Col Andre Traut said <ARG1>the teenager lodged a complaint with the police</ARG1> <SIG0>following</SIG0> <ARG0>a farmworkers protest is taking place</ARG0> .', 'Lt-Col Andre Traut said <ARG1>the teenager lodged a complaint with the police</ARG1> <SIG0>following</SIG0> <ARG0>there is a protest by farmworkers</ARG0> .']",0,0,0,0,0,0,0
3,"['<ARG0>15 towns were affected by the protests</ARG0> and <SIG0>resulted in</SIG0> <ARG1>two people have died and property has been destroyed</ARG1> .', '<ARG0>Fifteen towns were affected by the protests</ARG0> and <SIG0>resulted in</SIG0> <ARG1>two people have died and property has been destroyed</ARG1> .', '<ARG0>The towns were affected by the protests</ARG0> and <SIG0>resulted in</SIG0> <ARG1>two people have died and property has been destroyed</ARG1> .', '<ARG0>15 towns were affected by the protests</ARG0> and <SIG0>resulted in</SIG0> <ARG1>two people died and property was destroyed</ARG1> .', '<ARG0>Fifteen towns were affected by the protests</ARG0> and <SIG0>resulted in</SIG0> <ARG1>two people died and property was destroyed</ARG1> .', '<ARG0>The towns were affected by the protests</ARG0> and <SIG0>resulted in</SIG0> <ARG1>two people died and property was destroyed</ARG1> .', '<ARG0>15 towns were affected by the protests</ARG0> and <SIG0>resulted in</SIG0> <ARG1>two people are dead and property is destroyed</ARG1> .', '<ARG0>Fifteen towns were affected by the protests</ARG0> and <SIG0>resulted in</SIG0> <ARG1>two people are dead and property is destroyed</ARG1> .', '<ARG0>The towns were affected by the protests</ARG0> and <SIG0>resulted in</SIG0> <ARG1>two people are dead and property is destroyed</ARG1> .']",0,0,0,0,0,0,0
4,"[""<ARG1>On Tuesday, the farmworkers resumed their strike</ARG1> when <ARG0>their demands weren't met</ARG0> ."", ""<ARG1>On Tuesday, the farmworkers resumed their strike</ARG1> when <ARG0>their demands didn't get met</ARG0> ."", ""<ARG1>On Tuesday, the farmworkers resumed their strike</ARG1> when <ARG0>their requests weren't met</ARG0> ."", ""<ARG1>On Tuesday, the farmworkers went on strike</ARG1> when <ARG0>their demands weren't met</ARG0> ."", ""<ARG1>On Tuesday, the farmworkers went on strike</ARG1> when <ARG0>their demands didn't get met</ARG0> ."", ""<ARG1>On Tuesday, the farmworkers went on strike</ARG1> when <ARG0>their requests weren't met</ARG0> ."", ""<ARG1>On Tuesday, the strike began again</ARG1> when <ARG0>their demands weren't met</ARG0> ."", ""<ARG1>On Tuesday, the strike began again</ARG1> when <ARG0>their demands didn't get met</ARG0> ."", ""<ARG1>On Tuesday, the strike began again</ARG1> when <ARG0>their requests weren't met</ARG0> .""]",0,0,0,0,0,0,0
5,"[""<ARG0>There was an attack</ARG0> <SIG0>had sparked</SIG0> <ARG1>the CPM leader's reactions were very sharp</ARG1> ."", ""<ARG0>A group of people attacked Karayyams</ARG0> <SIG0>had sparked</SIG0> <ARG1>the CPM leader's reactions were very sharp</ARG1> ."", ""<ARG0>There was an attack against Karayyams</ARG0> <SIG0>had sparked</SIG0> <ARG1>the CPM leader's reactions were very sharp</ARG1> ."", ""<ARG0>There was an attack</ARG0> <SIG0>had sparked</SIG0> <ARG1>the CPM leader's reactions were sharp</ARG1> ."", ""<ARG0>A group of people attacked Karayyams</ARG0> <SIG0>had sparked</SIG0> <ARG1>the CPM leader's reactions were sharp</ARG1> ."", ""<ARG0>There was an attack against Karayyams</ARG0> <SIG0>had sparked</SIG0> <ARG1>the CPM leader's reactions were sharp</ARG1> ."", ""<ARG0>There was an attack</ARG0> <SIG0>had sparked</SIG0> <ARG1>the CPM's leaders reacted in a very sharp way</ARG1> ."", ""<ARG0>A group of people attacked Karayyams</ARG0> <SIG0>had sparked</SIG0> <ARG1>the CPM's leaders reacted in a very sharp way</ARG1> ."", ""<ARG0>There was an attack against Karayyams</ARG0> <SIG0>had sparked</SIG0> <ARG1>the CPM's leaders reacted in a very sharp way</ARG1> .""]",0,0,0,0,0,0,0
6,"[""`` <ARG0>The police were attacked</ARG0> , <ARG1>I know for a fact that it is</ARG1> , '' Modiba said during cross-examination ."", ""`` <ARG0>The police were attacked by a group of people</ARG0> , <ARG1>I know for a fact that it is</ARG1> , '' Modiba said during cross-examination ."", ""`` <ARG0>The police were attacked by people</ARG0> , <ARG1>I know for a fact that it is</ARG1> , '' Modiba said during cross-examination ."", ""`` <ARG0>The police were attacked</ARG0> , <ARG1>I am sure that it is</ARG1> , '' Modiba said during cross-examination ."", ""`` <ARG0>The police were attacked by a group of people</ARG0> , <ARG1>I am sure that it is</ARG1> , '' Modiba said during cross-examination ."", ""`` <ARG0>The police were attacked by people</ARG0> , <ARG1>I am sure that it is</ARG1> , '' Modiba said during cross-examination ."", ""`` <ARG0>The police were attacked</ARG0> , <ARG1>I'm sure that it is</ARG1> , '' Modiba said during cross-examination ."", ""`` <ARG0>The police were attacked by a group of people</ARG0> , <ARG1>I'm sure that it is</ARG1> , '' Modiba said during cross-examination ."", ""`` <ARG0>The police were attacked by people</ARG0> , <ARG1>I'm sure that it is</ARG1> , '' Modiba said during cross-examination .""]",0,0,0,0,0,0,0
7,"['<ARG1>More than 30 people were killed on August 16, 2012 in a shooting</ARG1> in <ARG0>there was a fight between the police and the crowd of people</ARG0> .', '<ARG1>More than 30 people were killed on August 16, 2012 in a shooting</ARG1> in <ARG0>there was a fight between the police and the crowd</ARG0> .', '<ARG1>More than 30 people were killed on August 16, 2012 in a shooting</ARG1> in <ARG0>there was a fight between police and the crowd of people</ARG0> .', '<ARG1>More than 30 people were killed in a shooting on August 16, 2012</ARG1> in <ARG0>there was a fight between the police and the crowd of people</ARG0> .', '<ARG1>More than 30 people were killed in a shooting on August 16, 2012</ARG1> in <ARG0>there was a fight between the police and the crowd</ARG0> .', '<ARG1>More than 30 people were killed in a shooting on August 16, 2012</ARG1> in <ARG0>there was a fight between police and the crowd of people</ARG0> .', '<ARG1>Thirty-four people were killed in a shooting on August 16, 2012</ARG1> in <ARG0>there was a fight between the police and the crowd of people</ARG0> .', '<ARG1>Thirty-four people were killed in a shooting on August 16, 2012</ARG1> in <ARG0>there was a fight between the police and the crowd</ARG0> .', '<ARG1>Thirty-four people were killed in a shooting on August 16, 2012</ARG1> in <ARG0>there was a fight between police and the crowd of people</ARG0> .']",0,0,0,0,0,0,0
8,"['<ARG1>The association of truck drivers was protesting</ARG1> <SIG0>by</SIG0> <ARG0>there is a road blocking near a circle</ARG0> .', '<ARG1>The association of truck drivers was protesting</ARG1> <SIG0>by</SIG0> <ARG0>the road is blocked near the circle</ARG0> .', '<ARG1>The association of truck drivers was protesting</ARG1> <SIG0>by</SIG0> <ARG0>there is a road blocked near a circle</ARG0> .', '<ARG1>Lorry owners were protesting</ARG1> <SIG0>by</SIG0> <ARG0>there is a road blocking near a circle</ARG0> .', '<ARG1>Lorry owners were protesting</ARG1> <SIG0>by</SIG0> <ARG0>the road is blocked near the circle</ARG0> .', '<ARG1>Lorry owners were protesting</ARG1> <SIG0>by</SIG0> <ARG0>there is a road blocked near a circle</ARG0> .', '<ARG1>The association of Lorries was protesting</ARG1> <SIG0>by</SIG0> <ARG0>there is a road blocking near a circle</ARG0> .', '<ARG1>The association of Lorries was protesting</ARG1> <SIG0>by</SIG0> <ARG0>the road is blocked near the circle</ARG0> .', '<ARG1>The association of Lorries was protesting</ARG1> <SIG0>by</SIG0> <ARG0>there is a road blocked near a circle</ARG0> .']",0,0,0,0,0,0,0
9,"[""<ARG0>it was unethical to ban testing</ARG0> , <ARG1>if the issue isn't solved soon, many traders in Bengal will intensify their protest</ARG1> ."", ""<ARG0>the ban on testing is unethical</ARG0> , <ARG1>if the issue isn't solved soon, many traders in Bengal will intensify their protest</ARG1> ."", ""<ARG0>the unethical banning of testing</ARG0> , <ARG1>if the issue isn't solved soon, many traders in Bengal will intensify their protest</ARG1> ."", ""<ARG0>it was unethical to ban testing</ARG0> , <ARG1>if the issue isn't solved soon, the traders in Bengal will intensify their protest</ARG1> ."", ""<ARG0>the ban on testing is unethical</ARG0> , <ARG1>if the issue isn't solved soon, the traders in Bengal will intensify their protest</ARG1> ."", ""<ARG0>the unethical banning of testing</ARG0> , <ARG1>if the issue isn't solved soon, the traders in Bengal will intensify their protest</ARG1> ."", ""<ARG0>it was unethical to ban testing</ARG0> , <ARG1>if the issue isn't solved soon, traders in Bengal will intensify their protest</ARG1> ."", ""<ARG0>the ban on testing is unethical</ARG0> , <ARG1>if the issue isn't solved soon, traders in Bengal will intensify their protest</ARG1> ."", ""<ARG0>the unethical banning of testing</ARG0> , <ARG1>if the issue isn't solved soon, traders in Bengal will intensify their protest</ARG1> .""]",0,0,0,0,0,0,0
