index,text,label
cnc_train_01_1_0_0,"Chale was allegedly chased by a group of about 30 people and was hacked to death with pangas , axes and spears .",0
cnc_train_01_2_0_0,His attackers allegedly drank his blood .,0
cnc_train_01_3_0_0,"Tip asked Mathunjwa why he had not `` explicitly '' told armed , striking mineworkers to leave the hill where they had gathered and return to work .",0
cnc_train_01_4_0_0,`` It the protest was something which happened outside the labour structures .,0
cnc_train_01_7_0_0,Lt-Col Andre Traut said the teenager laid the complaint at the Robertson police station following a farmworkers ' protest in the area .,1
cnc_train_01_8_0_0,Table grape harvesters started protesting about their working conditions in De Doorns last month .,0
cnc_train_01_9_0_0,The protests spread to 15 other towns and resulted in two deaths and the destruction of property .,1
cnc_train_01_10_0_0,The farmworkers ' strike resumed on Tuesday when their demands were not met .,1
cnc_train_01_12_0_0,It was in January this year a group of persons attacked the NHAI office at Kalamassery and distributed notices supporting armed revolt against the government .,0
cnc_train_01_13_0_0,Both Anoop and Ramanan are also accused in the case related to attack on the Nitta Gelatin office at Panampilly Nagar last year .,0
cnc_train_01_14_0_0,VS condemns attack on NSS Karayogams 08th May 2011 05:00 AM THIRUVANANTHAPURAM : Chief Minister V S Achuthanandan has condemned the recent attacks on NSS Karayogams .,0
cnc_train_01_15_0_0,"When asked about the series of attacks on Karayogams , he said that such attacks could not be entertained .",0
cnc_train_01_17_0_0,The attack on Karayogams had sparked sharp reactions from the CPM leaders .,1
cnc_train_01_18_0_0,`` I am going to argue your evidence that strikers at Marikana in August 2012 attacked the police should be kicked out .,0
cnc_train_01_19_0_0,"Mpofu said Lt-Col Kaizer Modiba was fabricating his evidence about the violence during the mineworkers ' strike at Marikana , near Rustenburg in the North West , because he had not been in a position to witness an attack .",1
cnc_train_01_20_0_0,"`` I observed the attack on the police , I have no doubt about it , '' Modiba said during cross-examination .",1
cnc_train_01_21_0_0,He said he was about 100 metres away when he witnessed the attack .,0
cnc_train_01_22_0_0,"Modiba said he saw the aggressive strikers running alongside a police Nyala , charging at police .",0
cnc_train_01_23_0_0,"The commission , chaired by retired Judge Ian Farlam , is investigating the deaths of 44 people during the wage-related strike at Lonmin 's platinum mining operations at Marikana in August 2012 .",0
cnc_train_01_24_0_0,"On August 16 , 2012 , 34 people , mostly mineworkers , were shot dead in a clash with police who were trying to disarm and disperse them .",1
cnc_train_01_25_0_0,"Sonia Gandhi was speaking at a function after flagging off 12 new trains , along with Railway Minister Mamata Banerjee , through videoconferencing at Kanpur railway station .",0
cnc_train_01_26_0_0,"Claiming that the dozen new trains would prove to be a boon for UP , Sonia said later at a public rally organised adjacent to the railway station that it was after a long gap that the Railway ministry had done so much in one go for the state .",0
cnc_train_01_27_0_0,"The function was organised by Kanpur Congress Lok Sabha member and Union Coal Minister Shriprakash Jaiswal , and attended by ministers of state for railway , E. The new trains are Kanpur-New Delhi Shatabdi Express , Lucknow - New Delhi Duronto , Allahabad - New Delhi Duronto , Gorakhpur - Lokmanya Tilak Terminal Express , Varanasi-Jammu Tawi Superfast , Lucknow-Yashwantpur Express , Agra-Lucknow Intercity , Mathura-Kasganj Passenger , Bhopal - Pratapgarh Express , Gorakhpur - Nainital Express , Gorakhpur - Noutha Passenger and Chapra - Mathura Express .",0
cnc_train_01_30_0_0,The lorry owners ’ association was staging a protest by blocking the road near Ambedkar Circle .,1
cnc_train_01_31_0_0,"Barring this incident , the agitation by other organisations on Thursday was peaceful .",0
cnc_train_01_33_0_0,"On Tuesday Clegg sent a series of supportive tweets , including : “ I sympathise a great deal with the brave pro-democracy demonstrators taking to the streets of Hong Kong. ” He said the UK remained committed to the joint declaration and said that “ universal suffrage must mean real choice ” for voters and “ a proper stake in the 2017 election ” .",0
cnc_train_01_34_0_0,"The demonstrations pose a real problem , not just for the British but for others too .",0
cnc_train_01_36_0_0,Ms. Surekha ’ s absence at the recently held protest meeting by Y .,0
cnc_train_01_37_0_0,"Hindu outfits blocked by police 04th November 2009 04:48 AM THIRUVANANTHAPURAM : Protests against foreign missionary Bernard Blessing ’ s presence in the city spilled into the streets on Tuesday evening with Hindu organisations taking out a march to his prayer meeting , and engaging in a minor scuffle with the police .",0
cnc_train_01_38_0_0,"A protest march jointly organised by the Vishwa Hindu Parishad and Hindu Aikya Vedi entered into a scuffle with the police near the State Central Library even as Blessing led , his supporters claimed , ` ` a packed prayer meeting ’ ’ at the Chandrasekharan Nair Stadium .",0
cnc_train_01_39_0_0,The protest march started at 7.30 p.m. but the police blocked it before it reached the venue .,0
cnc_train_01_43_0_0,"Protesting the unethical ban , hundreds of Bengal traders launched an agitation on Monday and threatened to intensify it , if the matter is not resolved soon .",1
cnc_train_01_44_0_0,"The neighbouring State apparently relented after 500 trucks carrying vegetables , eggs , fishes and other perishable items from Andhra Pradesh were detained by BJD activists at various places in Balasore .",1
cnc_train_01_45_0_0,"“ Though after the CM-level talks , we released all the detained trucks to West Bengal , they took back all the potato-laden trucks to their State , ” Agrawal said .",0
cnc_train_01_46_0_0,Labour Minister Mildred Oliphant intervened on Monday in an extended strike by petrol attendants and workers in the automotive industry .,0
cnc_train_01_47_0_0,"The strike began on September 9 , with Numsa demanding a double-digit percentage increase .",1
cnc_train_01_48_0_0,"About 70,000 workers were reported to be on strike .",0
cnc_train_01_49_0_0,"Protests show rising green concerns PUBLISHED : Wednesday , 04 July , 2012 , 12:00am Mass protests this week over the planned construction of a molybdenum-copper alloy plant in Shifang , Sichuan province show that environmental concerns are becoming a leading cause of social unrest .",0
cnc_train_01_52_0_0,"Last summer , tens of thousands of people in the northeastern city of Dalian , Liaoning , marched to demand the relocation of a chemical plant .",1
cnc_train_01_54_0_0,"Following the Xiamen incident , the ' not in my backyard ' mentality sparked similar protests in several mainland cities , including Dalian , Guangzhou and Shantou .",1
cnc_train_01_55_0_0,Analysts say the mainland public has taken to such protests because they lack adequate channels to express their concerns about environmental risks posed by massive industrial projects .,1
cnc_train_01_57_0_0,"SRINAGAR : One killed , 100 injured in Valley September 01 , 2016 00:00 IST As curfew was lifted from all 10 districts , violence singed the Kashmir Valley on Wednesday , leaving a civilian dead and over 100 injured .",1
cnc_train_01_59_0_0,Divisional Commissioner ( Kashmir ) Baseer Khan said more than 900 people attacked an Army convoy at Ladoora Rafiabad in Baramulla district .,0
cnc_train_01_60_0_0,"“ Amid stone-throwing , some rounds were fired at the convoy going to Kupwara .",0
