corpus,doc_id,sent_id,eg_id,index,text,text_w_pairs,seq_label,pair_label,context,num_sents
cnc,train_01_83,0,0,cnc_train_01_83_0_0.0,Two bus drivers were hurt in the attacks .,<ARG1>Two bus drivers were hurt</ARG1> in <ARG0>the attacks</ARG0> .,1,1,,1
cnc,train_01_153,0,0,cnc_train_01_153_0_0.0,The clash took place over use of the field .,<ARG1>The clash took place</ARG1> <SIG0>over</SIG0> <ARG0>use of the field</ARG0> .,1,1,,1
cnc,train_01_178,0,0,cnc_train_01_178_0_0.0,"Over 60,000 pupils were left stranded by the strike .","<ARG1>Over 60,000 pupils were left stranded</ARG1> <SIG0>by</SIG0> <ARG0>the strike</ARG0> .",1,1,,1
cnc,train_01_211,0,0,cnc_train_01_211_0_0.0,"Sena legislators protest against Yedyurappa 01st April 2010 10:08 PM MUMBAI : Shiv Sena workers , including some legislators , today staged demonstrations against Karnataka Chief Minister B S Yeddyurappa here , protesting the ' forcible installation ' of a Kannadiga mayor in Marathi-dominated Belgaum city .","Sena legislators protest against Yedyurappa 01st April 2010 10:08 PM MUMBAI : <ARG1>Shiv Sena workers , including some legislators , today staged demonstrations against Karnataka Chief Minister B S Yeddyurappa here</ARG1> , <ARG0><SIG0>protesting</SIG0> the ' forcible installation ' of a Kannadiga mayor in Marathi-dominated Belgaum city</ARG0> .",1,1,,1
cnc,train_01_246,0,0,cnc_train_01_246_0_0.0,"Search is on to trace and recover the abducted people , "" he said .","<ARG1>Search is on</ARG1> <ARG0><SIG0>to</SIG0> trace and recover the abducted people</ARG0> , "" he said .",1,1,,1
cnc,train_02_0,0,0,cnc_train_02_0_0_0.0,The blockade was lifted following an assurance from ADM Debraj Senapati and the additional SP J. Mahapatra to apprise the State Government of their demand .,<ARG1>The blockade was lifted</ARG1> <SIG0>following</SIG0> <ARG0>an assurance from ADM Debraj Senapati and the additional SP J. Mahapatra</ARG0> to apprise the State Government of their demand .,1,1,,1
cnc,train_02_0,0,1,cnc_train_02_0_0_1.0,The blockade was lifted following an assurance from ADM Debraj Senapati and the additional SP J. Mahapatra to apprise the State Government of their demand .,<ARG1>The blockade was lifted</ARG1> following an assurance from ADM Debraj Senapati and the additional SP J. Mahapatra <ARG0><SIG0>to</SIG0> apprise the State Government of their demand</ARG0> .,1,1,,1
cnc,train_02_26,0,0,cnc_train_02_26_0_0.0,The clashes erupted after a youth belonging to a minority Muslim sect was allegedly severely injured in a thrashing by a youth from the majority sect following an altercation .,<ARG1>The clashes erupted</ARG1> after <ARG0>a youth belonging to a minority Muslim sect was allegedly severely injured in a thrashing by a youth from the majority sect</ARG0> following an altercation .,1,1,,1
cnc,train_02_26,0,1,cnc_train_02_26_0_1.0,The clashes erupted after a youth belonging to a minority Muslim sect was allegedly severely injured in a thrashing by a youth from the majority sect following an altercation .,The clashes erupted after <ARG1>a youth belonging to a minority Muslim sect was allegedly severely injured in a thrashing by a youth from the majority sect</ARG1> <SIG0>following</SIG0> <ARG0>an altercation</ARG0> .,1,1,,1
cnc,train_02_36,0,0,cnc_train_02_36_0_0.0,Lawyers convinced them to accept bail to continue their campaign .,<ARG1>Lawyers convinced them to accept bail</ARG1> <ARG0><SIG0>to</SIG0> continue their campaign</ARG0> .,1,1,,1
cnc,train_02_41,0,0,cnc_train_02_41_0_0.0,A former state minister was also booked for inciting violence .,<ARG1>A former state minister was also booked</ARG1> <SIG0>for</SIG0> <ARG0>inciting violence</ARG0> .,1,1,,1
