corpus,doc_id,sent_id,eg_id,index,text,causal_text_w_pairs,num_rs
cnc,train_01_0,0,0,cnc_train_01_0_0_0,"The State alleged they hacked Sabata Petros Chale , 39 , to death in Marikana West , on December 8 , 2016 , allegedly over the allocation of low cost ( RDP ) houses at Marikana West Extension 2 .",[],0
cnc,train_01_1,0,0,cnc_train_01_1_0_0,"Chale was allegedly chased by a group of about 30 people and was hacked to death with pangas , axes and spears .",[],0
cnc,train_01_2,0,0,cnc_train_01_2_0_0,His attackers allegedly drank his blood .,[],0
cnc,train_01_3,0,0,cnc_train_01_3_0_0,"Tip asked Mathunjwa why he had not `` explicitly '' told armed , striking mineworkers to leave the hill where they had gathered and return to work .",[],0
cnc,train_01_4,0,0,cnc_train_01_4_0_0,`` It the protest was something which happened outside the labour structures .,[],0
cnc,train_01_5,0,0,cnc_train_01_5_0_0,"Police opened fire , killing 34 striking workers and wounding 78 while trying to disperse a group gathered on a hill near Lonmin 's platinum mine in Marikana on August 16 .",[],0
cnc,train_01_6,0,0,cnc_train_01_6_0_0,"The three-member Farlam Commission , chaired by retired judge Ian Farlam , was established by President Jacob Zuma to probe into the violence and the deaths of 44 people in wage-related protests .",[],0
cnc,train_01_7,0,0,cnc_train_01_7_0_0,Lt-Col Andre Traut said the teenager laid the complaint at the Robertson police station following a farmworkers ' protest in the area .,[],0
cnc,train_01_8,0,0,cnc_train_01_8_0_0,Table grape harvesters started protesting about their working conditions in De Doorns last month .,[],0
cnc,train_01_9,0,0,cnc_train_01_9_0_0,The protests spread to 15 other towns and resulted in two deaths and the destruction of property .,[],0
cnc,train_01_10,0,0,cnc_train_01_10_0_0,The farmworkers ' strike resumed on Tuesday when their demands were not met .,"[""<ARG1>The farmworkers ' strike resumed on Tuesday</ARG1> when <ARG0>their demands were not met</ARG0> .""]",1
cnc,train_01_11,0,0,cnc_train_01_11_0_0,"NHAI Case : Cops Fail to Produce Accused in Court 10th September 2015 03:49 AM KOCHI : Anoop George , the main accused in the case related to attack on the office of the National Highway Authority of India ( NHAI ) at Kalamassery , could not be produced before the Ernakulam District and Principal Sessions Court on Wednesday , after jail authorities in Coimbatore failed to arrange escort for him .",[],0
cnc,train_01_12,0,0,cnc_train_01_12_0_0,It was in January this year a group of persons attacked the NHAI office at Kalamassery and distributed notices supporting armed revolt against the government .,[],0
cnc,train_01_13,0,0,cnc_train_01_13_0_0,Both Anoop and Ramanan are also accused in the case related to attack on the Nitta Gelatin office at Panampilly Nagar last year .,[],0
cnc,train_01_14,0,0,cnc_train_01_14_0_0,VS condemns attack on NSS Karayogams 08th May 2011 05:00 AM THIRUVANANTHAPURAM : Chief Minister V S Achuthanandan has condemned the recent attacks on NSS Karayogams .,[],0
cnc,train_01_15,0,0,cnc_train_01_15_0_0,"When asked about the series of attacks on Karayogams , he said that such attacks could not be entertained .",[],0
cnc,train_01_16,0,0,cnc_train_01_16_0_0,"The NSS Karayogams were attacked in Thrissur and Thiruvananthapuram after NSS secretary Sukumaran Nair had said that the NSS did not support the LDF in the recent Assembly elections , as it did not want Achuthanandan to come back to power for another term .",[],0
cnc,train_01_17,0,0,cnc_train_01_17_0_0,The attack on Karayogams had sparked sharp reactions from the CPM leaders .,['<ARG0>The attack on Karayogams</ARG0> <ARG1>had <SIG0>sparked</SIG0> sharp reactions from the CPM leaders</ARG1> .'],1
cnc,train_01_18,0,0,cnc_train_01_18_0_0,`` I am going to argue your evidence that strikers at Marikana in August 2012 attacked the police should be kicked out .,[],0
